Name,Period,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Lisbon,1994,-9.14,38.76,106,2.9,3.1,3.6,3.6,4.4,3.9,3.8,3.7,3.4,3.3,2.0,-
GSFC Greenbelt,1993-99,-76.87,39.02,50,2.5,2.7,2.8,3.2,3.4,4.3,4.8,4.5,3.8,2.9,2.6,2.5
USDA,1998-1999,-76.88,39.03,50,2.6,2.5,2.9,2.7,2.9,3.2,4.0,3.5,2.9,2.7,2.6,2.5
Artaa,1981-90,21.00,39.17,10,-,-,-,5.4,5.0,5.2,5.7,5.2,-,-,-,-
MD Science Center,1999-2000,-76.62,39.27,15,2.3,2.4,2.6,2.8,3.8,3.5,3.1,3.8,2.7,2.7,2.5,2.4
Valencia,1990-96,-.47,39.5,62,3.4,3.6,4.2,4.3,4.7,5.3,5.4,5.2,4.7,3.7,3.4,3.6
Kaashidhoo,1998-99,73.45,4.95,0,4.0,4.3,4.1,4.0,4.8,4.1,5.2,4.1,3.9,3.6,3.6,3.5
Boulder/Denver,1988-90,-105.25,40.02,1634,2.8,3.0,3.1,3.7,3.8,4.1,4.3,4.0,3.6,3.3,2.9,2.7
Bondville,1996-99,-88.37,40.05,212,2.3,2.6,2.9,3.3,4.4,4.3,4.0,4.1,4.1,3.1,2.6,2.3
Boulder,1996,-105.98,40.05,1577,2.7,2.8,3.4,3.6,4.7,4.4,4.1,4.2,4.1,3.3,2.9,2.8
Madrid,1981-90,-3.72,40.45,664,3.0,3.2,2.9,3.3,3.4,3.9,3.8,4.2,3.9,3.8,3.6,3.0
Thessaloniki,1981-90,22.97,40.52,8,-,4.9,5.5,5.4,6.0,4.4,6.3,-,-,4.2,3.8,4.1
Brindisi,1981-90,17.95,40.65,10,2.8,2.7,2.4,2.7,3.1,2.9,3.5,2.9,3.2,2.6,2.6,2.4
Salt Lake City,1988-90,-111.97,40.77,1288,3.5,3.6,3.4,3.9,3.7,4.1,3.8,4.1,3.9,3.4,3.6,3.4
Porto,1981-89,-8.60,41.13,93,2.1,2.5,2.6,2.5,3.0,3.0,3.3,2.9,3.1,2.8,2.3,2.1
Samsun,1981-90,36.33,41.28,4,2.4,3.1,3.5,4.6,4.2,5.5,5.6,5.2,4.3,3.9,3.3,2.3
Omaha,1988-90,-96.52,41.37,404,2.6,2.9,3.1,3.8,3.9,4.2,4.6,4.2,3.5,3.1,2.9,2.7
Toledo,1961-90,-83.8,41.6,211,3.3,3.2,3.2,3.6,3.8,4.1,4.5,4.4,3.9,3.4,3.6,3.0
Toledo,1971-85,-83.8,41.6,211,3.0,3.1,3.4,3.6,4.1,4.6,5.3,4.8,4.0,3.6,3.1,2.9
Tbilisi,1986-90,44.95,41.68,490,-,-,-,2.7,8.8,4.0,4.4,4.1,5.2,-,-,5.0
Ajaccio,1971-80,8.80,41.92,5,3.0,3.0,3.6,3.8,3.5,3.7,4.0,4.5,4.1,4.0,3.3,2.4
Boston,1961-90,-71.03,42.37,5,2.5,2.7,2.6,3.1,3.4,3.8,3.9,4.0,3.4,3.1,3.1,2.5
Perpignan,1981-90,2.87,42.73,43,2.7,3.3,3.2,3.7,3.9,3.8,3.9,3.6,3.7,3.4,3.1,2.5
Oviedo,1981-90,-5.87,43.35,335,3.3,4.0,3.4,4.2,4.8,5.0,4.5,4.8,4.9,4.2,3.8,2.9
Dalanzadgad,1997-2000,104.42,43.57,1470,2.3,2.7,4.1,4.1,4.3,3.5,3.2,3.2,2.8,2.3,2.3,2.1
Toronto,1977-84,-79.32,43.63,79,3.0,2.7,3.0,3.1,3.6,3.7,3.9,3.9,3.3,3.1,3.2,2.7
Nice,1981-90,7.2,43.65,4,2.6,3.2,3.1,3.5,3.8,3.8,3.8,3.6,3.8,3.4,3.3,2.6
Aire Adour,1996-97,0.25,43.70,80,4.0,3.4,3.9,4.1,4.1,3.5,3.8,3.6,3.1,3.2,3.3,3.1
Avignon,1999-2001,4.87,43.92,32,2.8,2.7,4.0,2.9,3.0,3.3,2.9,3.5,2.9,2.8,2.7,2.6
Sable Island,1971-86,-60.02,43.93,4,3.2,3.3,3.4,3.9,3.9,3.8,4.3,3.8,3.8,3.6,3.1,3.1
Mount Forest,1971-86,-80.75,43.98,415,2.7,2.7,3.3,3.6,4.0,4.0,4.1,4.1,3.3,3.2,2.7,2.6
Carpentras,1971-80,5.05,44.08,99,2.9,3.3,3.6,3.9,3.7,3.2,3.3,3.5,3.4,3.4,-,2.7
Millau,1971-80,3.02,44.11,715,3.8,3.1,3.5,4.0,4.2,3.7,3.7,3.7,3.4,3.7,3.0,2.2
Eugene,1988-90,-123.22,44.12,109,2.6,2.7,3.0,3.3,3.3,3.2,3.2,3.5,3.3,3.1,2.8,2.6
Constanta,1981-90,28.63,44.22,13,2.3,2.0,2.0,2.0,2.5,2.7,3.0,2.6,2.2,2.0,2.6,2.2
Egbert,1998-2000,-79.75,44.22,264,2.4,2.4,2.5,2.8,3.1,2.9,2.9,2.8,2.8,2.6,2.5,2.5
H.J. Andrews,1994-99,-122.22,44.23,830,-,-,-,-,2.9,2.6,2.6,2.7,2.5,2.6,2.3,2.4
Kejimkujik,1998-2000,-65.27,44.37,100,2.6,2.6,2.7,3.3,3.2,3.3,2.9,2.9,3.9,2.8,3.1,2.6
Green Bay,1971-85,-88.13,44.48,214,2.8,3.0,3.3,3.8,4.0,4.0,4.2,4.0,3.4,3.1,2.9,2.6
Bologna,1981-89,11.30,44.53,36,3.4,-,4.7,3.9,4.2,5.1,4.6,3.4,4.3,3.7,-,3.5
Beograd,1981-90,20.47,44.80,132,2.0,2.3,2.6,3.0,3.6,3.5,3.3,3.4,3.4,2.7,2.1,2.0
Bordeaux,1981-90,-.7,44.83,49,3.1,3.5,3.3,3.5,3.9,4.2,3.9,3.9,3.8,3.6,3.4,2.8
Howland,1998-2000,-68.72,45.20,100,2.3,2.4,2.6,2.5,2.6,2.7,2.8,2.7,2.5,2.6,2.3,2.3
Venise,1999-2000,12.51,45.31,10,2.8,3.4,3.2,4.0,4.0,3.7,3.7,3.9,3.5,4.0,2.9,2.4
Sherbrooke,1998-2000,-71.92,45.37,300,2.3,2.3,2.7,2.5,3.1,3.6,3.5,3.1,2.8,2.5,2.3,2.2
Portland,1981-83,-122.60,45.55,12,3.0,3.2,3.6,3.8,4.0,3.8,4.1,3.7,3.5,3.4,3.1,3.3
Saint Cloud,1971-85,-94.07,45.55,312,2.7,2.9,3.1,3.5,3.7,3.9,4.0,4.0,3.5,3.1,2.9,2.7
Montreal,1977-84,-73.75,45.67,36,2.7,2.7,2.9,3.1,3.7,3.6,3.7,3.6,3.5,3.0,2.9,2.6
Vaux-en-Velin,1994,4.93,45.78,170,3.0,3.7,3.6,-,4.5,4.5,4.6,4.2,3.5,3.4,-,2.0
Clermont Ferrand,1981-90,3.17,45.78,332,2.6,3.4,3.3,3.5,3.8,3.5,4.0,3.9,3.9,3.9,2.9,2.8
Ispra,1997-98,8.62,45.80,235,3.4,3.9,4.3,4.4,4.7,5.5,4.4,4.6,4.9,4.4,3.5,3.3
Zagreb,1981-87,16.03,45.82,123,2.1,2.9,3.3,4.3,4.4,5.2,5.6,4.4,4.3,3.6,4.7,3.4
Limoges,1971-80,1.18,45.87,396,3.9,2.9,4.0,3.9,4.3,3.8,4.2,3.8,3.7,3.9,3.0,2.0
Chequamegon,1999-2000,-90.25,45.93,480,2.4,2.1,2.4,2.6,2.8,2.8,3.0,2.8,2.9,2.4,2.3,2.2
Lugano,1987-96,8.97,46.00,273,4.0,4.3,3.8,4.5,5.6,6.4,5.7,4.3,3.8,4.0,3.4,2.9
Ljubliana,1981-90,14.52,46.07,299,2.9,4.0,3.8,4.1,5.0,5.0,5.6,4.3,5.5,-,3.3,2.8
Evolène-Villaz,1987-96,7.52,46.12,1825,1.6,1.6,1.6,1.6,2.5,3.3,4.4,4.2,3.2,2.9,2.1,1.6
La Rochelle,1981-90,-1.15,46.15,4,2.5,2.9,3.2,3.2,3.8,3.8,3.8,3.7,3.5,3.4,2.9,2.6
Astoria (94224),1961-90,-123.88,46.15,7,2.9,3.4,3.4,3.6,3.8,3.7,3.6,3.6,3.3,3.2,2.9,2.6
Magadino,1995-99,8.94,46.16,200,2.7,3.1,2.6,3.0,3.4,3.2,3.8,4.0,3.1,3.2,3.1,3.5
Locarno-Monti,1981-90,8.78,46.17,366,3.0,3.7,3.5,3.5,4.0,4.3,4.1,4.0,4.2,3.9,3.2,2.7
Sion,1987-96,7.33,46.22,482,3.0,3.0,2.7,3.2,3.8,3.0,4.1,4.2,4.0,3.7,2.1,2.5
Geneva,1981-90,6.12,46.25,420,3.3,4.1,4.0,4.2,4.5,4.6,4.5,4.3,4.5,4.3,3.5,3.1
Maniwaki,1971-86,-75.97,46.38,170,2.7,2.9,3.1,3.4,3.8,3.8,4.0,3.6,3.2,3.0,2.8,2.8
Corvatsch,1981-90,9.82,46.42,3315,1.3,1.3,1.7,2.3,3.1,4.3,4.3,3.7,3.2,2.1,1.3,1.3
Bolzano,1981-89,11.33,46.47,241,3.5,4.1,3.3,4.0,4.7,4.7,4.1,3.7,4.4,3.8,4.0,3.3
Sault St. Marie,1961-90,-84.37,46.47,221,2.2,2.2,2.1,2.6,3.1,3.4,3.7,3.7,3.7,3.2,2.7,1.9
Odesssa,1981-90,30.63,46.48,64,2.4,3.6,3.4,3.7,3.6,4.1,4.2,4.0,3.4,3.1,2.6,2.7
Adelboden,1987-96,7.57,46.50,1320,3.7,3.6,2.8,3.9,4.2,5.1,5.4,5.0,4.2,4.4,4.1,2.7
